stop_id,auth_name,bearing_code,jurisdiction,kcm_managed_equipment,route_list,num_shelters,yrly_rel,yrly_rel_mins,stop_name
8494,Unknown,N,SEA,UNK,106 212 554E 7 9E,2,161.50137425569892,2.6916895709283155,Rainier Ave S & S Charles St
3032,Seattle,W,SEA,YES,2,1,160.51040371559208,2.675173395259868,E Union St & Broadway
27175,Seattle,N,SEA,YES,27,0,160.42786712950684,2.6737977854917805,36th Ave S & S Day St
36940,Seattle,W,SEA,YES,45 62 79N,0,159.89890039814676,2.6649816733024463,NE 65th St & 12th Ave NE
320,Seattle,S,SEA,YES,111 212 218 550E 554E,3,159.3500041712255,2.6558334028537582,2nd Ave & Seneca St
9132,Seattle,S,SEA,YES,45 75 79,2,158.9092543779988,2.6484875729666464,University Way NE & NE 50th St
2370,Seattle,W,SEA,YES,1 32 8 D,1,158.60908834660157,2.643484805776693,Mercer St & Queen Anne Ave N
40880,Seattle,N,SEA,YES,124,1,157.9519353211534,2.6325322553525567,13th Ave S & S Bailey St
79562,Seattle,N,SEA,YES,124,0,157.53281435881664,2.6255469059802774,East Marginal Way S & 16th Ave S
20650,Seattle,N,SEA,YES,24,0,157.33992549536947,2.622332091589491,35th Ave W & W McGraw St
38730,Seattle,N,SEA,YES,65,0,156.82569349834571,2.613761558305762,30th Ave NE & NE 143rd St
400,Seattle,S,SEA,YES,124 131 132 13N 14 17EN 1N 2 21 24N 27 33N 4 56 57 DN EN,2,156.3729599119201,2.6062159985320017,3rd Ave & Bell St
433,Seattle,S,SEA,YES,124 125 131 132 24N 27 33N H,0,155.75984162544006,2.595997360424001,3rd Ave & Pike St
31230,Seattle,S,SEA,YES,31 33,1,155.28859532519647,2.5881432554199413,22nd Ave W & Gilman Ave W
8870,Seattle,S,SEA,YES,7 9E,1,154.77403737885115,2.5795672896475192,Rainier Ave S & S Graham St
1250,Seattle,W,SEA,YES,13 2,0,154.62871638291898,2.5771452730486497,Seneca St & 4th Ave
20530,Seattle,W,SEA,YES,24,0,154.2707415489852,2.57117902581642,W Emerson St & Magnolia Blvd W
41830,Seattle,N,SEA,YES,107 60,1,153.82981554238307,2.563830259039718,15th Ave S & S Oregon St
21620,Seattle,N,SEA,YES,125 50 H,1,153.70688958904574,2.5617814931507623,Delridge Way SW & SW Andover St
8590,Seattle,S,SEA,YES,106 212 554E 7 9E,3,153.6923125481762,2.5615385424696036,Rainier Ave S & S Norman St
905,Seattle,W,SEA,YES,101 102 150 218 257N 311N 545EN,0,153.66184051615855,2.561030675269309,Stewart St & Yale Ave N
2672,Seattle,S,SEA,YES,1 13 2 32N 8 D,0,153.43762599923173,2.557293766653862,Queen Anne Ave N & W Mercer St
880,Seattle,E,SEA,YES,7 70,1,153.3869532903763,2.5564492215062717,Virginia St & 6th Ave
375,Seattle,S,SEA,YES,111 212 218 550E 554E,2,152.8117963093337,2.546863271822228,2nd Ave Ext S & Yesler Way
11030,Seattle,W,SEA,YES,49 9E,0,152.77753373239725,2.546292228873287,E Roy St & Broadway E
